"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-461C14CE","DISTRIB","ANNUAL","Species distribution","Geographical range","Highlands of central and southeastern Peru in departments of Ama- zonas (Atuen), San Martin (Bagazan), Huanuco (Panao; mts. near Huanuco), Junin (Auquimarca; Rumicruz), Cusco (Tocopoquen), and Puno (Santo Domingo; Occoneque); northern Bolivia in Department of La Paz (Rio Aceramarca).","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-461C14CE","DISTRIB","ANNUAL","Species distribution","Geographical range","Andes of nw Peru to e-cent. Bolivia (Santa Cruz)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-461C14CE","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-5.03","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-461C14CE","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-17.9","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-461C14CE","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-12.53","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-461C14CE","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-72.09","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-461C14CE","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-461C14CE","DISTRIB","RANGE_SIZE","Species distribution","Total range size","117281.58","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-461C14CE","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-461C14CE","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
