"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-26A34DA5","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa from Portuguese Guinea, the Sudan and Ethiopia south to Cape Province. Migratory in the southern part of its range.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-26A34DA5","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident and intra-African migrant, moister wooded savannas: resident Senegal - S Ethiopia south to N half DRC - NW Tanzania; breeding visitor to south of this to N Namibia, N Botswana, E half South Africa and along coast to Cape.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-26A34DA5","DISTRIB","ANNUAL","Species distribution","Geographical range","Intra-African migrant south of the Sahara","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-26A34DA5","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","14.37","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-26A34DA5","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-34.84","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-26A34DA5","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-5.05","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-26A34DA5","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","22.24","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-26A34DA5","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-26A34DA5","DISTRIB","RANGE_SIZE","Species distribution","Total range size","12082464.27","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-26A34DA5","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-26A34DA5","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-26A34DA5","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-26A34DA5","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-26A34DA5","HABITAT","DESCR","Habitat","Habitat description","moister, more heavily wooded savanna, forest edges, leafy thickets","","","","","Sibley 1996",""
"avibase-26A34DA5","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore glean arboreal","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-26A34DA5","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
