"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-CB3380D4","DISTRIB","ANNUAL","Species distribution","Geographical range","Lowland forests of se Brazil (on verge of extinction)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-CB3380D4","DISTRIB","ANNUAL","Species distribution","Geographical range","Eastern Brazil in states of Bahia (southern portion), Espirito Santo, Rio de Janeiro and southern Minas Geraes.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-CB3380D4","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-15.21","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CB3380D4","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-19.6","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CB3380D4","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-18.51","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CB3380D4","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-40.61","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CB3380D4","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CB3380D4","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1149.72","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CB3380D4","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-CB3380D4","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-CB3380D4","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CB3380D4","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CB3380D4","HABITAT","DESCR","Habitat","Habitat description","tall, lowland humid forest","","","","","Sibley 1996",""
