"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-9B658528","DISTRIB","ANNUAL","Species distribution","Geographical range","Mountains of New Britain.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-9B658528","DISTRIB","ANNUAL","Species distribution","Geographical range","PNG, New Britain","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-9B658528","DISTRIB","ANNUAL","Species distribution","Geographical range","Known from 2 specimens from New Britain (Bismarck Arch.)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-9B658528","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-5.11","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B658528","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-6.01","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B658528","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-5.48","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B658528","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","151.17","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B658528","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B658528","DISTRIB","RANGE_SIZE","Species distribution","Total range size","2381.31","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B658528","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-9B658528","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-9B658528","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B658528","HABITAT","DESCR","Habitat","Habitat description","forest undergrowth, bamboo;mountains ca 1600m","","","","","Sibley 1996",""
"avibase-9B658528","HABITAT","DESCR","Habitat","Habitat description","NA","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B658528","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-9B658528","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-9B658528","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B658528","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B658528","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
