"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-F3417B87","DISTRIB","ANNUAL","Species distribution","Geographical range","Java, on the craters of the volcanoes Gedeh, Tankuban Prahu and Papandajan.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-F3417B87","DISTRIB","ANNUAL","Species distribution","Geographical range","Mountains of Java","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-F3417B87","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-6.23","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F3417B87","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-7.55","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F3417B87","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-7.04","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F3417B87","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","107.41","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F3417B87","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F3417B87","DISTRIB","RANGE_SIZE","Species distribution","Total range size","7990.54","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F3417B87","DISTRIB","REALM","Species distribution","Realm","Indo_Malay","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-F3417B87","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-F3417B87","HABITAT","ALT","Habitat","Altitude","","m","1000","3000","-1","Birdlife's Worldbird Database",""
