"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-024383AA","DISTRIB","ANNUAL","Species distribution","Geographical range","Northern Peru (Moyobamba, Nuevo Loreto, Vista Alegre, Huachipa).","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-024383AA","DISTRIB","ANNUAL","Species distribution","Geographical range","Andes of n Peru (Amazonas to n Huánuco)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-024383AA","DISTRIB","ANNUAL","Species distribution","Geographical range","n Peru","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-024383AA","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-4.8","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-024383AA","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-9.85","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-024383AA","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-6.8","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-024383AA","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-77.07","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-024383AA","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-024383AA","DISTRIB","RANGE_SIZE","Species distribution","Total range size","61721.66","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-024383AA","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-024383AA","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-024383AA","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-024383AA","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-024383AA","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.81","cm","0.81","0.81","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-024383AA","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.91","cm","0.84","1.03","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
