"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-4A34E9CE","DISTRIB","ANNUAL","Species distribution","Geographical range","The upper Sanga River eastward to the Uelle and Aruwimi rivers - and southward to the mouth of the Congo and the Kasai district.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-4A34E9CE","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, secondary growth and plantations near forest often near water: main Congo forest area - S Sudan; SE Nigeria; N CAR.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-4A34E9CE","DISTRIB","ANNUAL","Species distribution","Geographical range","Coastal Gabon and locally along Congo River","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-4A34E9CE","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","9.73","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4A34E9CE","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-6.6","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4A34E9CE","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","0.7","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4A34E9CE","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","18.24","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4A34E9CE","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4A34E9CE","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1625936.76","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4A34E9CE","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4A34E9CE","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-4A34E9CE","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4A34E9CE","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4A34E9CE","HABITAT","DESCR","Habitat","Habitat description","forest edge along rivers","","","","","Sibley 1996",""
"avibase-4A34E9CE","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore sally air","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4A34E9CE","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4A34E9CE","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4A34E9CE","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4A34E9CE","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4A34E9CE","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.975","cm","0.94","1.01","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
