"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-3C157679","DISTRIB","ANNUAL","Species distribution","Geographical range","New Zealand","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-3C157679","DISTRIB","ANNUAL","Species distribution","Geographical range","New Zealand (both islands), Auckland Island, Chatham Islands.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-3C157679","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-34.53","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C157679","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-47.29","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C157679","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-42.12","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C157679","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","172.18","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C157679","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C157679","DISTRIB","RANGE_SIZE","Species distribution","Total range size","162640.63","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C157679","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-3C157679","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-3C157679","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
