"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-3C12AA44","DISTRIB","ANNUAL","Species distribution","Geographical range","Senegal and Egyptian Sudan south to the Transvaal and Natal.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-3C12AA44","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, forest and woodland near water: Senegal - Gabon - W Ethiopia, Kenya south to Cape through Tanzania, Zambia, S Angola, W Mozambique - E South Africa.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-3C12AA44","DISTRIB","ANNUAL","Species distribution","Geographical range","Locally in Africa south of the Sahara","","","","","Clements 6","http://www.birds.cornell.edu/clementschecklist"
"avibase-3C12AA44","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","16.27","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C12AA44","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-34.21","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C12AA44","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-2.09","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C12AA44","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","16.85","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C12AA44","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C12AA44","DISTRIB","RANGE_SIZE","Species distribution","Total range size","7860889.3","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C12AA44","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-3C12AA44","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
