"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-FDB8FCFF","DISTRIB","ANNUAL","Species distribution","Geographical range","Central America: Mexico","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-FDB8FCFF","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","27.19","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDB8FCFF","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","15.84","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDB8FCFF","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","20.61","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDB8FCFF","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-101.59","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDB8FCFF","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDB8FCFF","DISTRIB","RANGE_SIZE","Species distribution","Total range size","247558.03","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDB8FCFF","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FDB8FCFF","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-FDB8FCFF","HABITAT","ALT","Habitat","Altitude","","m","1200","3100","-1","Birdlife's Worldbird Database",""
"avibase-FDB8FCFF","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDB8FCFF","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
