"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-0F2066D5","DISTRIB","ANNUAL","Species distribution","Geographical range","South America: Colombia, Venezuela and the Guianas to Bolivia and sc Brazil; se Brazil","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-0F2066D5","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","11.34","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0F2066D5","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-23.18","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0F2066D5","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-5.01","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0F2066D5","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-58.9","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0F2066D5","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0F2066D5","DISTRIB","RANGE_SIZE","Species distribution","Total range size","7377327.39","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0F2066D5","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0F2066D5","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-0F2066D5","HABITAT","ALT","Habitat","Altitude","","m","","800","-1","Birdlife's Worldbird Database",""
"avibase-0F2066D5","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
