"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-3C0E1CD4","DISTRIB","ANNUAL","Species distribution","Geographical range","Bismarck Archipelago: New Britain, Duke of York Islands; Solomon Islands.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-3C0E1CD4","DISTRIB","ANNUAL","Species distribution","Geographical range","PNG, Sol, Bougainville, Duke of York, New Britain, New Ireland, Choiseul, Florida, Gower, Guadalcanal, Makira, Ramos, Ugi, Vella Lavella","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-3C0E1CD4","DISTRIB","ANNUAL","Species distribution","Geographical range","Bismarck Archipelago and Solomon Islands","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-3C0E1CD4","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-2.56","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C0E1CD4","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-10.85","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C0E1CD4","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-6.19","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C0E1CD4","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","153.54","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C0E1CD4","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C0E1CD4","DISTRIB","RANGE_SIZE","Species distribution","Total range size","51261.27","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C0E1CD4","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-3C0E1CD4","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-3C0E1CD4","HABITAT","ALT","Habitat","Altitude","","m","","650","-1","Birdlife's Worldbird Database",""
"avibase-3C0E1CD4","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C0E1CD4","HABITAT","DESCR","Habitat","Habitat description","forest;lowlands.","","","","","Sibley 1996",""
