"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-8EDC9B24","DISTRIB","ANNUAL","Species distribution","Geographical range","West Africa, from Guinea and Sierra Leone to Ivory Coast and Ghana.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-8EDC9B24","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, thick undergrowth of all forest types: very patchy Sierra Leone - Ghana.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-8EDC9B24","DISTRIB","ANNUAL","Species distribution","Geographical range","Sierra Leone to se Guinea, Liberia, Ivory Coast and Ghana","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-8EDC9B24","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","9.37","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8EDC9B24","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","4.88","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8EDC9B24","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","7.23","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8EDC9B24","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-9.35","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8EDC9B24","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8EDC9B24","DISTRIB","RANGE_SIZE","Species distribution","Total range size","84168.02","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8EDC9B24","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-8EDC9B24","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-8EDC9B24","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8EDC9B24","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8EDC9B24","HABITAT","DESCR","Habitat","Habitat description","dense undergrowth, usu near streams","","","","","Sibley 1996",""
