"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-D3E75FB4","DISTRIB","ANNUAL","Species distribution","Geographical range","Aus, Indon, PNG, Sol, Aureed, Boigu, Bramble Cay, Darnley, Dauan, Massig, Saibai, Batanta, Salawati, New Guinea, Aion, Bagabag, Bougainville, Buka, Daru, Duke of York, Feni, Fergusson, Goodenough, Karkar, Killerton, Lihir, Los Negros, Manus, Misima, New Britain, New Guinea, New Hanover, New Ireland, Nissan, Normanby, Rambutyo, Rossel, Sudest, Tabar, Tanga, Tench, Umboi, Vuatom, Woodlark, Bagga, Banika, Choiseul, Fauro, Florida, Gatukai, Gizo, Guadalcanal, Kohinggo, Kulambangra, Malaita, Mono, New Georgia, Pavuvu, Ranongga, Rendova, Russell Grp, Santa Isabel, Shortlands, Simbo, Tetipari, Ugi, Vangunu, Vella Lavella, Vona Vona","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-D3E75FB4","DISTRIB","ANNUAL","Species distribution","Geographical range","Australasia: Sulawesi to e Australia, Bismarck Arch. and ec Solomon Is.","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-D3E75FB4","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D3E75FB4","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-D3E75FB4","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-D3E75FB4","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D3E75FB4","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D3E75FB4","HABITAT","DESCR","Habitat","Habitat description","forest, secondary growth, open woodland;lowlands-1800m","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-D3E75FB4","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Fugivore glean","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-D3E75FB4","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-D3E75FB4","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D3E75FB4","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D3E75FB4","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
