"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-910E6D86","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, tall savanna wodland: all West Africa between Sahel and forest; S Sudan, SW Ethiopia, N Uganda; N Angola - N Tanzania south to all across N South Africa.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-910E6D86","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa: widespread","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-910E6D86","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","15.05","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-910E6D86","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-29.64","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-910E6D86","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-7.98","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-910E6D86","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","21.23","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-910E6D86","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-910E6D86","DISTRIB","RANGE_SIZE","Species distribution","Total range size","8552948.69","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-910E6D86","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-910E6D86","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-910E6D86","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-910E6D86","HABITAT","DESCR","Habitat","Habitat description","Shrubland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-910E6D86","HABITAT","DESCR","Habitat","Habitat description","woodland, shrubby grassland, farmland;lowlands-1500m","","","","","Sibley 1996",""
