"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-0161CAAD","DISTRIB","ANNUAL","Species distribution","Geographical range","Southeastern Brazil in states of Baia, southeastern Minas Gerais, Espirito Santo, Rio de Janeiro and Sao Paulo.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-0161CAAD","DISTRIB","ANNUAL","Species distribution","Geographical range","E Brazil (Bahia, Minas Gerais, Espírito Santo, Rio de Janeiro)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-0161CAAD","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-12.52","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0161CAAD","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-23.51","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0161CAAD","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-18.67","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0161CAAD","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-41.38","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0161CAAD","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0161CAAD","DISTRIB","RANGE_SIZE","Species distribution","Total range size","177950.43","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0161CAAD","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0161CAAD","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-0161CAAD","HABITAT","ALT","Habitat","Altitude","","m","700","1300","-1","Birdlife's Worldbird Database",""
"avibase-0161CAAD","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0161CAAD","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0161CAAD","HABITAT","DESCR","Habitat","Habitat description","humid forest undergrowth","","","","","Sibley 1996",""
"avibase-0161CAAD","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Generalist","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0161CAAD","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-0161CAAD","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-0161CAAD","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
