"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-5EAB32D3","DISTRIB","ANNUAL","Species distribution","Geographical range","Breeds on the coasts of Norway and southern Sweden, British Isles, coast of France, east to Esthonia; locally about the shores of the Mediter- ranean, Black and Caspian Seas and eastward on the saline lakes of central Asia to East Siberia, Mongoha and Tibet. Winters from the southern part of its breeding range to northern Africa, Arabia, India, South China and Japan.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-5EAB32D3","DISTRIB","ANNUAL","Species distribution","Geographical range","Visitor, coastal mudflats: North Africa.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-5EAB32D3","DISTRIB","ANNUAL","Species distribution","Geographical range","Palearctic region; winters to Near East, India and Myanmar","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-5EAB32D3","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","70.31","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5EAB32D3","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","27.72","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5EAB32D3","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","48.41","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5EAB32D3","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","66.23","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5EAB32D3","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5EAB32D3","DISTRIB","RANGE_SIZE","Species distribution","Total range size","9435093.57","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5EAB32D3","DISTRIB","REALM","Species distribution","Realm","Palearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5EAB32D3","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-5EAB32D3","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
