"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-9FD4D3D9","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, rocky country in desert and semi-desert: S of Altas Mts in Morocco, Algeria, Tunisia south through desert to Mauritania, C Mali.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-9FD4D3D9","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa: nw AF to Arabian Pen.","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-9FD4D3D9","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","37.35","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9FD4D3D9","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","12.74","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9FD4D3D9","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","27.62","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9FD4D3D9","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","6.51","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9FD4D3D9","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9FD4D3D9","DISTRIB","RANGE_SIZE","Species distribution","Total range size","3200038.62","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9FD4D3D9","DISTRIB","REALM","Species distribution","Realm","Palearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-9FD4D3D9","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-9FD4D3D9","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9FD4D3D9","HABITAT","DESCR","Habitat","Habitat description","Desert","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9FD4D3D9","HABITAT","DESCR","Habitat","Habitat description","open rocky woodland, desert","","","","","Sibley 1996",""
"avibase-9FD4D3D9","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Vertivore perch","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-9FD4D3D9","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-9FD4D3D9","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
