"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-3B22C2E7","DISTRIB","ANNUAL","Species distribution","Geographical range","Northern Colombia in the lower Magdalena Valley and the Santa Marta region.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-3B22C2E7","DISTRIB","ANNUAL","Species distribution","Geographical range","northeastern Colombia (Sierra Nevada de Santa Marta) and the Serranía de Perijá (ColombiaVenezuela)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-3B22C2E7","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","11.49","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3B22C2E7","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","9.72","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3B22C2E7","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","10.62","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3B22C2E7","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-73.35","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3B22C2E7","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3B22C2E7","DISTRIB","RANGE_SIZE","Species distribution","Total range size","27765.98","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3B22C2E7","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-3B22C2E7","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-3B22C2E7","HABITAT","ALT","Habitat","Altitude","","m","600","2600","-1","Birdlife's Worldbird Database",""
"avibase-3B22C2E7","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3B22C2E7","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3B22C2E7","HABITAT","DESCR","Habitat","Habitat description","scrub, forest edge & cultivated areas such as plantations and farms;sea level to 2600m, commonest at 500-1700m","","","","","Sibley 1996",""
"avibase-3B22C2E7","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Nectarivore aerial","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
